CstCd,CstmFgCd,CstmNm,CstmNmBk,GroupId,UpperCstmCd,UseDclr,UseIb,UseYn,AuditTeamMgrCnt,ExpAuditorCnt,ExpInspctTeamMgrCnt,ExpInspctorCnt,ImpAuditorCnt,ImpInspctTeamMgrCnt,ImpInspctorCnt,ImpexpAuditorCnt,ImpexpInspctTeamMgrCnt,ImpexpInspctorCnt
7502,30,"Үнэ, үнэлгээний хэсэг","Үнэ, үнэлгээний хэсэг",,7,Y,N,Y,0,0,0,0,0,0,0,0,0,0
7503,30,Санхүүгийн хэсэг,Санхүүгийн хэсэг,,7,Y,N,Y,0,0,0,0,0,0,0,0,0,0
7504,30,Татвар,Татвар,,7,Y,N,Y,0,0,0,0,0,0,0,0,0,0
7600,30,Статистик,Статистик,,7,Y,N,Y,0,0,0,0,0,0,0,0,0,0
7904,30,Даян ,Даян ,,7,Y,N,Y,0,0,0,0,0,0,0,0,0,0
8100,30,Захиргааны хэсэг,Захиргааны хэсэг,,8,Y,N,Y,0,0,0,0,0,0,0,0,0,0
8201,30,Ярантын бүрдүүлэлтийн 3-р хэсэг,Булган дахь гаалийн бүрдүүлэлтийн хэсэг,,8,N,N,Y,0,0,0,0,0,0,0,0,0,0
8203,30,Байтаг дахь хилийн боомт,Байтаг дахь хилийн боомт,,8,Y,N,Y,0,0,0,0,0,0,0,0,0,0
8501,30,БТКУС-ын хэсэг,БТКУС-ын хэсэг,,8,Y,N,Y,0,0,0,0,0,0,0,0,0,0
8503,30,Санхүүгийн хэсэг,Санхүүгийн хэсэг,,8,Y,N,Y,0,0,0,0,0,0,0,0,0,0
8504,30,Татвар,Татвар,,8,Y,N,Y,0,0,0,0,0,0,0,0,0,0
8505,30,Хураамж,Хураамж,,8,Y,N,Y,0,0,0,0,0,0,0,0,0,0
8800,30,Эрсдэл,Эрсдэл,,8,Y,N,Y,0,0,0,0,0,0,0,0,0,0
8902,30,Булган гүний гааль ,Булган гүний гааль ,,8,Y,N,Y,0,0,0,0,0,0,0,0,0,0
8903,30,Ярант,Ярант ,,8204,Y,N,Y,0,0,0,0,0,0,0,0,0,0
9201,30,Улаангом дахь гаалийн бүрдүүлэлтийн хэсэг,Улаангом дахь гаалийн бүрдүүлэлтийн хэсэг,,9,Y,N,Y,0,0,0,0,1,1,1,0,0,0
9500,30,"Санхүү, татварын хэсэг","Санхүү, татварын хэсэг",,9,Y,N,Y,0,0,0,0,0,0,0,0,0,0
9501,30,БТКУС-ын хэсэг,БТКУС-ын хэсэг,,9,Y,N,Y,0,0,0,0,0,0,0,0,0,0
9502,30,"Үнэ, үнэлгээний хэсэг","Үнэ, үнэлгээний хэсэг",,9,Y,N,Y,0,0,0,0,0,0,0,0,0,0
9504,30,Татвар,Татвар,,9,Y,N,Y,0,0,0,0,0,0,0,0,0,0
9505,30,Хураамж,Хураамж,,9,Y,N,Y,0,0,0,0,0,0,0,0,0,0
9600,30,Статистик,Статистик,,9,Y,N,N,0,0,0,0,0,0,0,0,0,0
9902,30,Боршоо,Боршоо,,9,Y,N,Y,0,0,0,0,0,0,0,0,0,0
9903,30,Тэс ,Тэс ,,9,Y,N,Y,0,0,0,0,0,0,0,0,0,0
10203,30,Тэшиг дэх гаалийн салбар,Тэшиг дэх гаалийн салбар,,10,Y,N,Y,0,0,0,0,0,0,0,0,0,0
10504,30,Татвар,Татвар,,10,Y,N,Y,0,0,0,0,0,0,0,0,0,0
10505,30,Хураамж,Хураамж,,10,Y,N,Y,0,0,0,0,0,0,0,0,0,0
10800,30,Эрсдэл,Эрсдэл,,10,Y,N,Y,0,0,0,0,0,0,0,0,0,0
10902,30,Бага-Илэнх ,Бага-Илэнх ,,10,Y,N,Y,0,0,0,0,0,0,0,0,0,0
10903,30,Эрдэнэт үйлдвэр ,Эрдэнэт үйлдвэр ,,10,Y,N,Y,0,0,0,0,0,0,0,0,0,0
11100,30,Захиргааны хэсэг,Захиргааны хэсэг,,11,Y,N,N,0,0,0,0,0,0,0,0,0,0
11203,30,Бор-Өндөр дэх гаалийн салбар,Бор-Өндөр дэх гаалийн салбар,,11,Y,N,Y,0,0,0,0,0,0,0,0,0,0
11205,30,Сайншанд дахь автотээврийн хяналтын хэсэг,Сайншанд дахь автотээврийн хяналтын хэсэг,,11,Y,N,Y,0,0,0,0,0,0,0,0,0,0
11207,30,Айраг дахь гаалийн салбар,Айраг дахь гаалийн салбар,,11,Y,N,Y,0,0,0,0,0,0,0,0,1,0
11500,30,"Санхүү, татварын хэсэг","Санхүү, татварын хэсэг",,11,Y,N,Y,0,0,0,0,0,0,0,0,0,0
11502,30,"Үнэ, үнэлгээний хэсэг","Үнэ, үнэлгээний хэсэг",,11,Y,N,Y,0,0,0,0,0,0,0,0,0,0
11504,30,Татвар,Татвар,,11,Y,N,Y,0,0,0,0,0,0,0,0,0,0
11505,30,Хураамж,Хураамж,,11,Y,N,Y,0,0,0,0,0,0,0,0,0,0
11600,30,Статистик,Статистик,,11,Y,N,Y,0,0,0,0,0,0,0,0,0,0
11902,30,25-р зөрлөг,25-р зөрлөг,,11,Y,N,Y,0,0,0,0,0,0,0,0,0,0
11903,30,Шанд Цайрт минерал,Шанд Цайрт минерал,,11,Y,N,Y,0,0,0,0,0,0,0,0,0,0
11905,30,Бор-Өндөр ,Бор-Өндөр ,,11,Y,N,Y,0,0,0,0,0,0,0,0,0,0
12202,30,DHL дахь бүрдүүлэлтийн хэсэг,DHL дахь бүрдүүлэлтийн хэсэг,,12,Y,N,Y,0,0,0,0,0,0,0,0,0,0
12500,30,"Санхүү, татварын хэсэг","Санхүү, татварын хэсэг",,12,Y,N,Y,0,0,0,0,0,0,0,0,0,0
12501,30,БТКУС-ын хэсэг,БТКУС-ын хэсэг,,12,Y,N,Y,0,0,0,0,0,0,0,0,0,0
12504,30,Татвар,Татвар,,12,Y,N,Y,0,0,0,0,0,0,0,0,0,0
12800,30,Эрсдэл,Эрсдэл,,12,Y,N,Y,0,0,0,0,0,0,0,0,0,0
1,10,Гаалийн ерөнхий газар (ГЕГ),лсын гаалийн ерөнхий газар(MCGA),,,Y,N,Y,0,0,0,0,0,0,0,0,0,0
12903,30,Ди Эйч Эл ХХК,Ди Эйч Эл ХХК,,12,Y,N,Y,0,0,0,0,0,0,0,0,0,0
13100,30,Захиргааны хэсэг,Захиргааны хэсэг,,13,Y,N,Y,0,0,0,0,0,0,0,0,0,0
13201,30,Дарханы төв дахь гаалийн бүрдүүлэлтийн хэсэг,Дарханы төв дахь гаалийн бүрдүүлэлтийн хэсэг,,13,Y,N,Y,0,0,0,0,0,0,0,0,0,0
13202,30,Хандгайт дахь гаалийн салбар,Зүүн хараа дахь төмөр  замын хяналтын хэсэг,,13,Y,N,Y,0,0,0,0,0,0,0,0,0,0
13500,30,"Санхүү, татварын хэсэг","Санхүү, татварын хэсэг",,13,Y,N,Y,0,0,0,0,0,0,0,0,0,0
13501,30,БТКУС-ын хэсэг,БТКУС-ын хэсэг,,13,Y,N,Y,0,0,0,0,0,0,0,0,0,0
13502,30,"Үнэ, үнэлгээний хэсэг","Үнэ, үнэлгээний хэсэг",,13,Y,N,Y,0,0,0,0,0,0,0,0,0,0
13503,30,Санхүүгийн хэсэг,Санхүүгийн хэсэг,,13,Y,N,Y,0,0,0,0,0,0,0,0,0,0
13504,30,Татвар,Татвар,,13,Y,N,Y,0,0,0,0,0,0,0,0,0,0
13505,30,Хураамж,Хураамж,,13,Y,N,Y,0,0,0,0,0,0,0,0,0,0
13800,30,Эрсдэл,Эрсдэл,,13,Y,N,Y,0,0,0,0,0,0,0,0,0,0
13902,30,Дархан-2 өртөө ,Дархан-2 өртөө ,,13,Y,N,Y,0,0,0,0,0,0,0,0,0,0
13903,30,Зүүнхараа өртөө ,Зүүнхараа өртөө ,,13,Y,N,Y,0,0,0,0,0,0,0,0,0,0
13904,30,Хөтөл өртөө ,Хөтөл өртөө ,,13,Y,N,Y,0,0,0,0,0,0,0,0,0,0
14201,30,Гашуун-Сухайтын гаалийн бүрдүүлэлтийн хэсэг,Гашуун-Сухайтын гаалийн бүрдүүлэлтийн хэсэг,,14,Y,N,Y,0,0,0,0,0,0,0,0,0,0
14500,30,"Санхүү, татварын хэсэг","Санхүү, татварын хэсэг",,14,Y,N,N,0,0,0,0,0,0,0,0,0,0
14503,30,Санхүүгийн хэсэг,Санхүүгийн хэсэг,,14,Y,N,N,0,0,0,0,0,0,0,0,0,0
14504,30,Татвар,Татвар,,14,Y,N,N,0,0,0,0,0,0,0,0,0,0
14600,30,Статистик,Статистик,,14,Y,N,N,0,0,0,0,0,0,0,0,0,0
14904,30,Цагаан хад мөнхийн их:Нэг цэгийн үйлчилгээ,Пүжин Мон ХХК,,14,N,N,Y,0,0,0,0,0,0,0,0,0,0
14905,30,Ориент Энержи ХХК,Ориент Энержи ХХК,,14,N,N,Y,0,0,0,0,0,0,0,0,0,0
15100,30,Захиргааны хэсэг,Захиргааны хэсэг,,15,Y,N,N,0,0,0,0,0,0,0,0,0,0
15500,30,"Санхүү, татварын хэсэг","Санхүү, татварын хэсэг",,15,Y,N,N,0,0,0,0,0,0,0,0,0,0
15501,30,БТКУС-ын хэсэг,БТКУС-ын хэсэг,,15,Y,N,N,0,0,0,0,0,0,0,0,0,0
15502,30,"Үнэ, үнэлгээний хэсэг","Үнэ, үнэлгээний хэсэг",,15,Y,N,N,0,0,0,0,0,0,0,0,0,0
15504,30,Татвар,Татвар,,15,Y,N,N,0,0,0,0,0,0,0,0,0,0
15505,30,Хураамж,Хураамж,,15,Y,N,N,0,0,0,0,0,0,0,0,0,0
15600,30,Статистик,Статистик,,15,Y,N,N,0,0,0,0,0,0,0,0,0,0
15800,30,Эрсдэл,Эрсдэл,,15,Y,N,N,0,0,0,0,0,0,0,0,0,0
16,20,Бичигт дэх гаалийн газар,Бичигт дэх гаалийн хороо,,1,Y,N,Y,0,0,0,0,0,0,0,0,0,0
16100,30,Захиргааны хэсэг,Захиргааны хэсэг,,16,Y,N,Y,0,0,0,0,0,0,0,0,0,0
16500,30,"Санхүү, татварын хэсэг","Санхүү, татварын хэсэг",,16,Y,N,Y,0,0,0,0,0,0,0,0,0,0
16503,30,Санхүүгийн хэсэг,Санхүүгийн хэсэг,,16,Y,N,Y,0,0,0,0,0,0,0,0,0,0
16504,30,Татвар,Татвар,,16,Y,N,Y,0,0,0,0,0,0,0,0,0,0
17100,30,Захиргааны хэсэг,Захиргааны хэсэг,,17,Y,N,Y,0,0,0,0,0,0,0,0,0,0
17202,30,Бургастай хилийн боомт,Бургастай хилийн боомт,,17,Y,N,Y,0,0,0,0,0,0,0,0,0,0
17500,30,"Санхүү, татварын хэсэг","Санхүү, татварын хэсэг",,17,Y,N,Y,0,0,0,0,0,0,0,0,0,0
17501,30,БТКУС-ын хэсэг,БТКУС-ын хэсэг,,17,Y,N,Y,0,0,0,0,0,0,0,0,0,0
17503,30,Санхүүгийн хэсэг,Санхүүгийн хэсэг,,17,Y,N,Y,0,0,0,0,0,0,0,0,0,0
17800,30,Эрсдлийн алба,Эрсдлийн алба,,17,Y,N,Y,0,0,0,0,0,0,0,0,0,0
17902,30,Бургастай,Бургастай ,,17,Y,N,Y,0,0,0,0,0,0,0,0,0,0
17903,20,Говь Алтай Бургастай шинэ,Цагаан байшинт,,17,Y,N,Y,0,0,0,0,0,0,0,1,1,2
18201,30,Арцсуурь дахь хилийн боомт,Арцсуурь дахь хилийн боомт,,18,Y,N,N,0,0,0,0,0,0,0,0,0,0
18500,30,"Санхүү, татварын хэсэг","Санхүү, татварын хэсэг",,18,Y,N,Y,0,0,0,0,0,0,0,0,0,0
18501,30,БТКУС-ын хэсэг,БТКУС-ын хэсэг,,18,Y,N,Y,0,0,0,0,0,0,0,0,0,0
18504,30,Татвар,Татвар,,18,Y,N,Y,0,0,0,0,0,0,0,0,0,0
18505,30,Хураамж,Хураамж,,18,Y,N,Y,0,0,0,0,0,0,0,0,0,0
18600,30,Статистик,Статистик,,18,Y,N,Y,0,0,0,0,0,0,0,0,0,0
18800,30,Эрсдэл,Эрсдэл,,18,Y,N,Y,0,0,0,0,0,0,0,0,0,0
19100,30,Захиргааны хэсэг,Захиргааны хэсэг,,19,Y,N,Y,0,0,0,0,0,0,0,0,0,0
19201,30,Ханх дахь хилийн боомт,Ханх дахь хилийн боомт,,19,Y,N,Y,0,0,0,0,0,0,0,0,0,0
8904,30,Байтаг ,Байтаг ,,8,Y,N,Y,0,0,0,0,0,0,0,0,0,0
9200,30,"Гаалийн хяналт,  бүрдүүлэлтийн алба","Гаалийн хяналт,  бүрдүүлэлтийн алба",,9,Y,N,Y,0,0,0,0,0,0,0,0,0,0
9202,30,Боршоо дахь гаалийн салбар,Боршоо дахь гаалийн салбар,,9,Y,N,Y,0,0,0,0,0,0,0,0,0,0
9503,30,Санхүүгийн хэсэг,Санхүүгийн хэсэг,,9,Y,N,Y,0,0,0,0,0,0,0,0,0,0
9800,30,Эрсдэл,Эрсдэл,,9,Y,N,Y,0,0,0,0,0,0,0,0,0,0
9901,30,Увс дахь гүний гааль ,Увс дахь гүний гааль ,,9,Y,N,Y,0,0,0,0,0,0,0,0,0,0
10200,30,"Гаалийн хяналт,  бүрдүүлэлтийн хэлтэс","Гаалийн хяналт,  бүрдүүлэлтийн хэлтэс",,10,Y,N,Y,0,0,0,0,0,0,0,0,0,0
10202,30,Бага илэнх дэх хилийн боомт,Бага илэнх дэх хилийн боомт,,10,Y,N,Y,0,0,0,0,0,0,0,0,0,0
10500,30,"Санхүү, татварын хэсэг","Санхүү, татварын хэсэг",,10,Y,N,Y,0,0,0,0,0,0,0,0,0,0
10503,30,Санхүүгийн хэсэг,Санхүүгийн хэсэг,,10,Y,N,Y,0,0,0,0,0,0,0,0,0,0
10600,30,Статистик,Статистик,,10,Y,N,Y,0,0,0,0,0,0,0,0,0,0
10901,30,Эрдэнэт өртөө ,Эрдэнэт өртөө ,,10,Y,N,Y,0,0,0,0,0,0,0,0,0,0
11,20,Сайншанд дахь  гаалийн газар,Сайншанд дахь  гаалийн газар,,1,Y,N,Y,0,0,0,0,0,0,0,0,0,0
11200,30,Гаалийн хяналт бүрдүүлэлтийн алба,"Гаалийн хяналт,  бүрдүүлэлтийн алба",,11,Y,N,Y,0,0,0,0,0,0,0,0,0,0
11204,30,Ханги дахь гаалийн салбар,Ханги-мандалын хилийн боомт,,11,Y,N,N,0,0,0,0,0,0,0,0,0,0
11206,30,Сайншанд дахь төмөр замын хяналтын хэсэг,Сайншанд дахь төмөр замын хяналтын хэсэг,,11,Y,N,Y,0,0,0,0,0,0,0,0,0,0
11300,30,Гаалийн зөрчлөөс урьдчилан сэргийлэх хэсэг,Гаалийн зөрчлөөс урьдчилан сэргийлэх хэсэг,,11,Y,N,Y,0,0,0,0,0,0,0,0,0,0
11503,30,Санхүүгийн хэсэг,Санхүүгийн хэсэг,,11,Y,N,Y,0,0,0,0,0,0,0,0,0,0
11800,30,Эрсдэл,Эрсдэл,,11,Y,N,Y,0,0,0,0,0,0,0,0,0,0
11906,30,Ханги-Мандал,Ханги-Мандал,,11,Y,N,Y,0,0,0,0,0,0,0,0,0,0
12502,30,"Үнэ, үнэлгээний хэсэг","Үнэ, үнэлгээний хэсэг",,12,Y,N,Y,0,0,0,0,0,0,0,0,0,0
12600,30,Статистик,Статистик,,12,Y,N,Y,0,0,0,0,0,0,0,0,0,0
14,20,Гашуунсухайт дахь гаалийн газар,Гашуунсухайт дахь гаалийн хороо,,1,Y,N,Y,0,0,0,0,0,0,0,0,0,0
14200,30,"Гаалийн хяналт,  бүрдүүлэлтийн алба","Гаалийн хяналт,  бүрдүүлэлтийн алба",,14,Y,N,Y,0,0,0,0,0,0,0,0,0,0
14502,30,"Үнэ, үнэлгээний хэсэг","Үнэ, үнэлгээний хэсэг",,14,Y,N,N,0,0,0,0,0,0,0,0,0,0
14800,30,Эрсдэл,Эрсдэл,,14,Y,N,N,0,0,0,0,0,0,0,0,0,0
14901,30,Гашуунсухайт,Гашуунсухайт ,,14,Y,N,Y,0,0,0,0,0,0,0,0,0,0
14902,30,Ухаа худаг - Энержи,Айвенхоу Майнз Монголия Инк ХХК,,14,N,N,Y,0,0,0,0,0,0,0,0,0,0
15,20,Шивээхүрэн дахь гаалийн газар,Шивээхүрэн дахь гаалийн хороо,,1,Y,N,Y,0,0,0,0,0,0,0,0,0,0
15200,30,"Гаалийн хяналт, эрсдлийн удирдлагын алба","Гаалийн хяналт,  бүрдүүлэлтийн алба",,15,Y,N,Y,0,0,0,0,0,0,0,0,0,0
15503,30,Санхүүгийн хэсэг,Санхүүгийн хэсэг,,15,Y,N,N,0,0,0,0,0,0,0,0,0,0
15901,30,Шивээхүрэн галерей,Шивээхүрэн ,,15,Y,N,Y,0,0,0,0,0,0,0,0,0,0
15902,30,"МАК, ЧИН ХУА МАК бүрдүүлэлтийн хэсэг",Чин Хуа-Мак-Нарийн сухайт ХХК,,15,Y,N,Y,0,0,0,0,0,0,0,0,0,0
16200,30,"Гаалийн хяналт,  бүрдүүлэлтийн алба","Гаалийн хяналт,  бүрдүүлэлтийн алба",,16,Y,N,Y,0,0,0,0,0,0,0,0,0,0
4500,30,"Санхүү, татварын хэлтэс","Санхүү, татварын хэлтэс",,4,Y,N,Y,0,0,0,0,0,0,0,0,0,0
4502,30,"Үнэ, үнэлгээний хэсэг","Үнэ, үнэлгээний хэсэг",,4,Y,N,Y,0,0,0,0,0,0,0,0,0,0
4600,30,Статистик,Статистик,,4,Y,N,Y,0,0,0,0,0,0,0,0,0,0
4901,30,Сүхбаатар өртөө,Сүхбаатар өртөө ,,4,Y,N,Y,1,0,0,0,0,0,0,1,0,2
4906,30,Сэлэнгэ импекс ,Сэлэнгэ импекс ,,4,Y,N,Y,0,0,0,0,0,0,0,0,0,0
4908,30,Халиун уул,Халиун уул,,4,Y,N,Y,0,0,0,0,0,0,0,0,0,0
5,20,Чингис Хаан Олон Улсын нисэх буудал дахь гаалийн газар,Буянт-Ухаа дахь гаалийн газар,,1,Y,N,Y,0,0,0,0,0,0,0,0,0,0
5505,30,Хураамж,Хураамж,,5,Y,N,N,0,0,0,0,0,0,0,0,0,0
5800,30,Эрсдлийн алба,Эрсдлийн алба,,5,Y,N,Y,0,0,0,0,0,0,0,0,0,0
5902,30,Олон улсын нисэх буудал,Олон улсын нисэх буудал,,5,Y,N,Y,0,0,1,1,0,0,0,0,0,0
19500,30,"Санхүү, татварын хэсэг","Санхүү, татварын хэсэг",,19,Y,N,Y,0,0,0,0,0,0,0,0,0,0
19501,30,БТКУС-ын хэсэг,БТКУС-ын хэсэг,,19,Y,N,Y,0,0,0,0,0,0,0,0,0,0
19503,30,Санхүүгийн хэсэг,Санхүүгийн хэсэг,,19,Y,N,Y,0,0,0,0,0,0,0,0,0,0
19504,30,Татвар,Татвар,,19,Y,N,Y,0,0,0,0,0,0,0,0,0,0
19600,30,Статистик,Статистик,,19,Y,N,Y,0,0,0,0,0,0,0,0,0,0
19902,30,Ханх ,Ханх ,,19,Y,N,Y,0,0,0,0,0,0,0,0,0,0
3010,30,3010 custom name,3010 custom name,,30,Y,N,Y,0,0,0,0,0,0,0,0,0,0
1110,30,Хүний нөөцийн хэлтэс,Хүний нөөцийн хэлтэс ,,1,Y,N,N,0,0,0,0,0,0,0,0,0,0
3211,30,Inspection Department in Truck Terminal,,,3,Y,N,Y,0,0,0,0,0,0,0,0,0,0
16800,30,Эрсдэл,Эрсдэл,,16,Y,N,Y,0,0,0,0,0,0,0,0,0,0
5200,30,"Гаалийн хяналт, бүрдүүлэлтийн хэлтэс","Гаалийн хяналт, бүрдүүлэлтийн хэлтэс",,5,Y,N,N,0,0,0,0,0,0,0,0,0,0
99,30,Test Border CH,Test Border CH,,1,Y,N,N,0,0,0,0,0,0,0,0,0,0
99901,30,Border Desc.1,Border Desc.1,,99,Y,N,Y,0,0,0,0,0,0,0,0,0,0
