Cst_Cd,Cstm_Nm,Cstm_Nm_Bk,Audit_Team_Mgr_Cnt,Exp_Auditor_Cnt,Exp_Inspct_Team_Mgr_Cnt,Exp_Inspctor_Cnt,Imp_Auditor_Cnt,Imp_Inspct_Team_Mgr_Cnt,Imp_Inspctor_Cnt
7504,Татвар,Татвар,0,0,0,0,0,0,0
7600,Статистик,Статистик,0,0,0,0,0,0,0
7904,Даян ,Даян ,0,0,0,0,0,0,0
8100,Захиргааны хэсэг,Захиргааны хэсэг,0,0,0,0,0,0,0
8201,Ярантын бүрдүүлэлтийн 3-р хэсэг,Булган дахь гаалийн бүрдүүлэлтийн хэсэг,0,0,0,0,0,0,0
8203,Байтаг дахь хилийн боомт,Байтаг дахь хилийн боомт,0,0,0,0,0,0,0
8501,БТКУС-ын хэсэг,БТКУС-ын хэсэг,0,0,0,0,0,0,0
8503,Санхүүгийн хэсэг,Санхүүгийн хэсэг,0,0,0,0,0,0,0
8504,Татвар,Татвар,0,0,0,0,0,0,0
8505,Хураамж,Хураамж,0,0,0,0,0,0,0
8800,Эрсдэл,Эрсдэл,0,0,0,0,0,0,0
8902,Булган гүний гааль ,Булган гүний гааль ,0,0,0,0,0,0,0
8903,Ярант,Ярант ,0,0,0,0,0,0,0
9201,Улаангом дахь гаалийн бүрдүүлэлтийн хэсэг,Улаангом дахь гаалийн бүрдүүлэлтийн хэсэг,0,0,0,0,1,1,1
9500,"Санхүү, татварын хэсэг","Санхүү, татварын хэсэг",0,0,0,0,0,0,0
9501,БТКУС-ын хэсэг,БТКУС-ын хэсэг,0,0,0,0,0,0,0
9502,"Үнэ, үнэлгээний хэсэг","Үнэ, үнэлгээний хэсэг",0,0,0,0,0,0,0
9504,Татвар,Татвар,0,0,0,0,0,0,0
9505,Хураамж,Хураамж,0,0,0,0,0,0,0
9600,Статистик,Статистик,0,0,0,0,0,0,0
9902,Боршоо,Боршоо,0,0,0,0,0,0,0
9903,Тэс ,Тэс ,0,0,0,0,0,0,0
10203,Тэшиг дэх гаалийн салбар,Тэшиг дэх гаалийн салбар,0,0,0,0,0,0,0
10504,Татвар,Татвар,0,0,0,0,0,0,0
10505,Хураамж,Хураамж,0,0,0,0,0,0,0
10800,Эрсдэл,Эрсдэл,0,0,0,0,0,0,0
10902,Бага-Илэнх ,Бага-Илэнх ,0,0,0,0,0,0,0
10903,Эрдэнэт үйлдвэр ,Эрдэнэт үйлдвэр ,0,0,0,0,0,0,0
11100,Захиргааны хэсэг,Захиргааны хэсэг,0,0,0,0,0,0,0
11203,Бор-Өндөр дэх гаалийн салбар,Бор-Өндөр дэх гаалийн салбар,0,0,0,0,0,0,0
11205,Сайншанд дахь автотээврийн хяналтын хэсэг,Сайншанд дахь автотээврийн хяналтын хэсэг,0,0,0,0,0,0,0
11207,Айраг дахь гаалийн салбар,Айраг дахь гаалийн салбар,0,0,0,0,0,0,0
11500,"Санхүү, татварын хэсэг","Санхүү, татварын хэсэг",0,0,0,0,0,0,0
11502,"Үнэ, үнэлгээний хэсэг","Үнэ, үнэлгээний хэсэг",0,0,0,0,0,0,0
11504,Татвар,Татвар,0,0,0,0,0,0,0
11505,Хураамж,Хураамж,0,0,0,0,0,0,0
11600,Статистик,Статистик,0,0,0,0,0,0,0
11902,25-р зөрлөг,25-р зөрлөг,0,0,0,0,0,0,0
11903,Шанд Цайрт минерал,Шанд Цайрт минерал,0,0,0,0,0,0,0
11905,Бор-Өндөр ,Бор-Өндөр ,0,0,0,0,0,0,0
12202,DHL дахь бүрдүүлэлтийн хэсэг,DHL дахь бүрдүүлэлтийн хэсэг,0,0,0,0,0,0,0
12500,"Санхүү, татварын хэсэг","Санхүү, татварын хэсэг",0,0,0,0,0,0,0
12501,БТКУС-ын хэсэг,БТКУС-ын хэсэг,0,0,0,0,0,0,0
12504,Татвар,Татвар,0,0,0,0,0,0,0
12800,Эрсдэл,Эрсдэл,0,0,0,0,0,0,0
1,Гаалийн ерөнхий газар (ГЕГ),лсын гаалийн ерөнхий газар(MCGA),0,0,0,0,0,0,0
12903,Ди Эйч Эл ХХК,Ди Эйч Эл ХХК,0,0,0,0,0,0,0
13100,Захиргааны хэсэг,Захиргааны хэсэг,0,0,0,0,0,0,0
13201,Дарханы төв дахь гаалийн бүрдүүлэлтийн хэсэг,Дарханы төв дахь гаалийн бүрдүүлэлтийн хэсэг,0,0,0,0,0,0,0
13202,Хандгайт дахь гаалийн салбар,Зүүн хараа дахь төмөр  замын хяналтын хэсэг,0,0,0,0,0,0,0
13500,"Санхүү, татварын хэсэг","Санхүү, татварын хэсэг",0,0,0,0,0,0,0
13501,БТКУС-ын хэсэг,БТКУС-ын хэсэг,0,0,0,0,0,0,0
13502,"Үнэ, үнэлгээний хэсэг","Үнэ, үнэлгээний хэсэг",0,0,0,0,0,0,0
13503,Санхүүгийн хэсэг,Санхүүгийн хэсэг,0,0,0,0,0,0,0
13504,Татвар,Татвар,0,0,0,0,0,0,0
13505,Хураамж,Хураамж,0,0,0,0,0,0,0
13800,Эрсдэл,Эрсдэл,0,0,0,0,0,0,0
13902,Дархан-2 өртөө ,Дархан-2 өртөө ,0,0,0,0,0,0,0
13903,Зүүнхараа өртөө ,Зүүнхараа өртөө ,0,0,0,0,0,0,0
13904,Хөтөл өртөө ,Хөтөл өртөө ,0,0,0,0,0,0,0
14201,Гашуун-Сухайтын гаалийн бүрдүүлэлтийн хэсэг,Гашуун-Сухайтын гаалийн бүрдүүлэлтийн хэсэг,0,0,0,0,0,0,0
14500,"Санхүү, татварын хэсэг","Санхүү, татварын хэсэг",0,0,0,0,0,0,0
14503,Санхүүгийн хэсэг,Санхүүгийн хэсэг,0,0,0,0,0,0,0
14504,Татвар,Татвар,0,0,0,0,0,0,0
14600,Статистик,Статистик,0,0,0,0,0,0,0
14904,Цагаан хад мөнхийн их:Нэг цэгийн үйлчилгээ,Пүжин Мон ХХК,0,0,0,0,0,0,0
14905,Ориент Энержи ХХК,Ориент Энержи ХХК,0,0,0,0,0,0,0
15100,Захиргааны хэсэг,Захиргааны хэсэг,0,0,0,0,0,0,0
15500,"Санхүү, татварын хэсэг","Санхүү, татварын хэсэг",0,0,0,0,0,0,0
15501,БТКУС-ын хэсэг,БТКУС-ын хэсэг,0,0,0,0,0,0,0
15502,"Үнэ, үнэлгээний хэсэг","Үнэ, үнэлгээний хэсэг",0,0,0,0,0,0,0
15504,Татвар,Татвар,0,0,0,0,0,0,0
15505,Хураамж,Хураамж,0,0,0,0,0,0,0
