код,Гаалийн газар хорооны код,Гаалийн газар хорооны нэр,Төрөл,Он,Сар,Дүн
131,10,Орхон аймаг дахь ГГ,Татвар,2024,3,5995.23
132,13,Дархан-Уул аймаг дахь ГГ,Татвар,2024,3,4781.11
133,6,Дорнод аймаг дахь ГГ,Татвар,2024,3,3990.19
134,9,Увс аймаг дахь ГГ,Татвар,2024,3,1394.81
135,12,Улс хоорондын шуудан илгээмж дэх ГХ,Татвар,2024,3,4849.55
136,17,Говь-Алтай аймгийн Бургастай дахь ГХ,Татвар,2024,3,0
137,16,Сүхбаатар аймгийн Бичигт дэх ГХ,Татвар,2024,3,1024.99
138,19,Хөвсгөл аймгийн Ханх дахь ГХ,Татвар,2024,3,81.1
139,18,Завхан аймгийн Арцсуурь дахь ГХ,Татвар,2024,3,0
140,20,Ханги дахь гаалийн газар,Татвар,2024,3,0
141,1,ГЕГазар,Хураамж,2024,3,0
142,2,Улаанбаатар хот дахь ГГ,Хураамж,2024,3,183.25
143,3,Замын-Үүд дэх ГГ,Хураамж,2024,3,211.7
144,5,Чингис хаан ОУНБ ГГ,Хураамж,2024,3,12.14
145,4,Сэлэнгэ аймаг дахь ГГ,Хураамж,2024,3,25.43
146,14,Гашуунсухайт дахь ГГ,Хураамж,2024,3,3498.19
147,15,Шивээхүрэн дэх ГГ,Хураамж,2024,3,3096.6
148,11,Сайншанд дахь ГГ,Хураамж,2024,3,1037.85
149,8,Ховд аймгийн Булган дахь ГГ,Хураамж,2024,3,600
150,7,Баян-Өлгий аймаг дахь ГГ,Хураамж,2024,3,4.85
151,10,Орхон аймаг дахь ГГ,Хураамж,2024,3,61.14
152,13,Дархан-Уул аймаг дахь ГГ,Хураамж,2024,3,580.3
153,6,Дорнод аймаг дахь ГГ,Хураамж,2024,3,10.68
154,9,Увс аймаг дахь ГГ,Хураамж,2024,3,0.57
155,12,Улс хоорондын шуудан илгээмж дэх ГХ,Хураамж,2024,3,18
156,17,Говь-Алтай аймгийн Бургастай дахь ГХ,Хураамж,2024,3,309.27
157,16,Сүхбаатар аймгийн Бичигт дэх ГХ,Хураамж,2024,3,306.47
158,19,Хөвсгөл аймгийн Ханх дахь ГХ,Хураамж,2024,3,0.03
159,18,Завхан аймгийн Арцсуурь дахь ГХ,Хураамж,2024,3,0
160,20,Ханги дахь гаалийн газар,Хураамж,2024,3,497.68
161,1,ГЕГазар,Өөрийн орлого,2024,3,418.48
162,2,Улаанбаатар хот дахь ГГ,Өөрийн орлого,2024,3,203.84
163,3,Замын-Үүд дэх ГГ,Өөрийн орлого,2024,3,256.03
164,5,Чингис хаан ОУНБ ГГ,Өөрийн орлого,2024,3,98.55
165,4,Сэлэнгэ аймаг дахь ГГ,Өөрийн орлого,2024,3,15.76
166,14,Гашуунсухайт дахь ГГ,Өөрийн орлого,2024,3,34.4
167,15,Шивээхүрэн дэх ГГ,Өөрийн орлого,2024,3,28.87
168,11,Сайншанд дахь ГГ,Өөрийн орлого,2024,3,37.29
169,8,Ховд аймгийн Булган дахь ГГ,Өөрийн орлого,2024,3,3.43
170,7,Баян-Өлгий аймаг дахь ГГ,Өөрийн орлого,2024,3,15.76
171,10,Орхон аймаг дахь ГГ,Өөрийн орлого,2024,3,3.6
172,13,Дархан-Уул аймаг дахь ГГ,Өөрийн орлого,2024,3,4.72
173,6,Дорнод аймаг дахь ГГ,Өөрийн орлого,2024,3,20
174,9,Увс аймаг дахь ГГ,Өөрийн орлого,2024,3,1
175,12,Улс хоорондын шуудан илгээмж дэх ГХ,Өөрийн орлого,2024,3,40
176,17,Говь-Алтай аймгийн Бургастай дахь ГХ,Өөрийн орлого,2024,3,0.2
177,16,Сүхбаатар аймгийн Бичигт дэх ГХ,Өөрийн орлого,2024,3,1
178,19,Хөвсгөл аймгийн Ханх дахь ГХ,Өөрийн орлого,2024,3,0.5
179,18,Завхан аймгийн Арцсуурь дахь ГХ,Өөрийн орлого,2024,3,0
180,20,Ханги дахь гаалийн газар,Өөрийн орлого,2024,3,9.02
181,1,ГЕГазар,Татвар,2024,4,1.97
182,2,Улаанбаатар хот дахь ГГ,Татвар,2024,4,249605.57
183,3,Замын-Үүд дэх ГГ,Татвар,2024,4,126377.7
184,5,Чингис хаан ОУНБ ГГ,Татвар,2024,4,29506.43
185,4,Сэлэнгэ аймаг дахь ГГ,Татвар,2024,4,30066
186,14,Гашуунсухайт дахь ГГ,Татвар,2024,4,36581.98
187,15,Шивээхүрэн дэх ГГ,Татвар,2024,4,11393.6
188,11,Сайншанд дахь ГГ,Татвар,2024,4,4060.99
189,8,Ховд аймгийн Булган дахь ГГ,Татвар,2024,4,1744.71
190,7,Баян-Өлгий аймаг дахь ГГ,Татвар,2024,4,5408.81
191,10,Орхон аймаг дахь ГГ,Татвар,2024,4,6240.65
192,13,Дархан-Уул аймаг дахь ГГ,Татвар,2024,4,4980.68
193,6,Дорнод аймаг дахь ГГ,Татвар,2024,4,3953.05
194,9,Увс аймаг дахь ГГ,Татвар,2024,4,1129.72
195,12,Улс хоорондын шуудан илгээмж дэх ГХ,Татвар,2024,4,5648.33
196,17,Говь-Алтай аймгийн Бургастай дахь ГХ,Татвар,2024,4,74.36
