код,Гаалийн газар хорооны код,Гаалийн газар хорооны нэр,Төрөл,Он,Сар,Дүн
711,10,Орхон аймаг дахь ГГ,Өөрийн орлого,2024,12,7.2
712,13,Дархан-Уул аймаг дахь ГГ,Өөрийн орлого,2024,12,5.41
713,6,Дорнод аймаг дахь ГГ,Өөрийн орлого,2024,12,22
714,9,Увс аймаг дахь ГГ,Өөрийн орлого,2024,12,1.2
715,12,Улс хоорондын шуудан илгээмж дэх ГХ,Өөрийн орлого,2024,12,56
716,17,Говь-Алтай аймгийн Бургастай дахь ГХ,Өөрийн орлого,2024,12,5
717,16,Сүхбаатар аймгийн Бичигт дэх ГХ,Өөрийн орлого,2024,12,2
718,19,Хөвсгөл аймгийн Ханх дахь ГХ,Өөрийн орлого,2024,12,0.3
719,18,Завхан аймгийн Арцсуурь дахь ГХ,Өөрийн орлого,2024,12,0.25
720,20,Ханги дахь гаалийн газар,Өөрийн орлого,2024,12,10.35
