Bordr Cstm Yn,Cstm Cd,Cstm Fg Cd,Cstm Nm,Cstm Nm Bk,Group Id,Upper Cstm Cd,Use Dclr,Use Ib,Use Yn,Audit Team Mgr Cnt,Exp Auditor Cnt,Exp Inspct Team Mgr Cnt,Exp Inspctor Cnt,Imp Auditor Cnt,Imp Inspct Team Mgr Cnt,Imp Inspctor Cnt,Impexp Auditor Cnt,Impexp Inspct Team Mgr Cnt,Impexp Inspctor Cnt
N,15500,30,"Санхүү, татварын хэсэг","Санхүү, татварын хэсэг",,15,Y,N,N,0,0,0,0,0,0,0,0,0,0
N,15501,30,БТКУС-ын хэсэг,БТКУС-ын хэсэг,,15,Y,N,N,0,0,0,0,0,0,0,0,0,0
N,15502,30,"Үнэ, үнэлгээний хэсэг","Үнэ, үнэлгээний хэсэг",,15,Y,N,N,0,0,0,0,0,0,0,0,0,0
N,15504,30,Татвар,Татвар,,15,Y,N,N,0,0,0,0,0,0,0,0,0,0
N,15505,30,Хураамж,Хураамж,,15,Y,N,N,0,0,0,0,0,0,0,0,0,0
N,15600,30,Статистик,Статистик,,15,Y,N,N,0,0,0,0,0,0,0,0,0,0
N,15800,30,Эрсдэл,Эрсдэл,,15,Y,N,N,0,0,0,0,0,0,0,0,0,0
Y,16,20,Бичигт дэх гаалийн газар,Бичигт дэх гаалийн хороо,,01,Y,N,Y,0,0,0,0,0,0,0,0,0,0
N,16100,30,Захиргааны хэсэг,Захиргааны хэсэг,,16,Y,N,Y,0,0,0,0,0,0,0,0,0,0
N,16500,30,"Санхүү, татварын хэсэг","Санхүү, татварын хэсэг",,16,Y,N,Y,0,0,0,0,0,0,0,0,0,0
N,16503,30,Санхүүгийн хэсэг,Санхүүгийн хэсэг,,16,Y,N,Y,0,0,0,0,0,0,0,0,0,0
N,16504,30,Татвар,Татвар,,16,Y,N,Y,0,0,0,0,0,0,0,0,0,0
N,17100,30,Захиргааны хэсэг,Захиргааны хэсэг,,17,Y,N,Y,0,0,0,0,0,0,0,0,0,0
N,17202,30,Бургастай хилийн боомт,Бургастай хилийн боомт,,17,Y,N,Y,0,0,0,0,0,0,0,0,0,0
